Latitude,Longitude,Stop Name,Stop Status
40.689032,-73.981268,FULTON ST/FLATBUSH AV EXT,at stop
40.690478,-73.984898,FULTON ST/DUFFIELD ST,at stop
40.686606,-73.947213,GATES AV/MARCY AV,at stop
40.688259,-73.932852,GATES AV/STUYVESANT AV,approaching
40.686102,-73.951574,GATES AV/NOSTRAND AV,approaching
40.686098,-73.951605,GATES AV/NOSTRAND AV,approaching
40.686681,-73.966062,GREENE AV/WASHINGTON AV,approaching
40.686884,-73.964295,GREENE AV/WASHINGTON AV,approaching
40.700519,-73.910029,GATES AV/WYCKOFF AV,< 1 stop away
40.685388,-73.959312,GREENE AV/CLASSON AV,< 1 stop away
40.686102,-73.951573,GATES AV/BEDFORD AV,< 1 stop away
40.696111,-73.989031,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
